시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
화성시,202511,7150,71988,72105
화성시,202510,8543,69171,63159
화성시,202509,9984,79603,65574
화성시,202508,15229,47180,48115
화성시,202507,19011,50172,51028
화성시,202506,8043,52610,53655
화성시,202505,6696,51109,55844
화성시,202504,11225,49132,53771
화성시,202503,11692,55842,58351
화성시,202502,20855,55754,44166
화성시,202501,14411,97456,62969
화성시,202412,6058,24699,31556
화성시,202411,6424,25978,30428
화성시,202410,8548,34067,34067
화성시,202409,8006,38918,32742
화성시,202408,6864,32750,32603
화성시,202407,6795,33421,33325
화성시,202406,5567,33904,32445
화성시,202405,6372,33096,31715
화성시,202404,7931,28824,30175
화성시,202403,8937,29676,33436
화성시,202402,8745,37689,31811
화성시,202401,17380,39505,30436

