시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
군포시,202509,3148,10592,7837
군포시,202508,3501,5566,6429
군포시,202507,5217,9192,7614
군포시,202506,1480,6104,7251
군포시,202505,1290,6222,7925
군포시,202504,2207,8789,8225
군포시,202503,2423,8830,8562
군포시,202502,2402,8885,7442
군포시,202501,2259,9333,7303
군포시,202412,1647,6945,7938
군포시,202411,1995,6617,7694
군포시,202410,2467,6176,8202
군포시,202409,2497,12840,8236
군포시,202408,1942,6952,7464
군포시,202407,1811,7318,6970
군포시,202406,1468,8260,7065
군포시,202405,1330,6344,7394
군포시,202404,1816,6203,7706
군포시,202403,1912,5837,8231
군포시,202402,2443,14017,8242
군포시,202401,1861,5906,6023
김포시,202604,2168,8212,9232
김포시,202603,2957,8343,10732
김포시,202602,2115,11965,11122
김포시,202601,1984,9788,12010
김포시,202512,2904,13778,13610
김포시,202511,2781,13708,13128
김포시,202510,3098,13347,10365
김포시,202509,3881,10261,9761
김포시,202508,3206,8998,8592
김포시,202507,10083,11622,9552
김포시,202506,2212,8707,8721
김포시,202505,2038,8762,9034
김포시,202504,3086,8807,8970
김포시,202503,2545,8854,9673
김포시,202502,1871,8711,9182
김포시,202501,2508,10647,9847
김포시,202412,1758,10499,10766
김포시,202411,2102,10383,11179
김포시,202410,2559,11140,11485
김포시,202409,2380,8838,9755
김포시,202408,2501,10750,12105
김포시,202407,2462,11207,12685
김포시,202406,1565,12229,11928
김포시,202405,1534,9791,10740
김포시,202404,9792,9724,10853
김포시,202403,2585,9665,12137
김포시,202402,4000,15151,11700
김포시,202401,2382,9686,10909
남양주시,202604,5992,24957,26109
남양주시,202603,6512,27651,30805
남양주시,202602,5599,33817,26110
남양주시,202601,7215,24002,24384
남양주시,202512,5764,25985,26842
남양주시,202511,5073,25512,27742
남양주시,202510,6854,30367,24385
남양주시,202509,9422,22139,22771
남양주시,202508,12189,20618,19786
남양주시,202507,13856,22065,21661
남양주시,202506,4942,23550,23818
남양주시,202505,4802,22889,24788
남양주시,202504,6085,21749,25049
남양주시,202503,5977,28930,28573
남양주시,202502,5871,26743,25007
남양주시,202501,5885,30711,24129
남양주시,202412,4488,20736,20997
남양주시,202411,5164,19856,20414
남양주시,202410,6006,19186,21911
남양주시,202409,5178,28401,22917
남양주시,202408,5079,20252,20521
남양주시,202407,4752,20014,20073
남양주시,202406,4063,19807,19837
남양주시,202405,4864,20179,20879
남양주시,202404,5108,19473,20502
남양주시,202403,5008,19096,21738
남양주시,202402,4905,26797,21272
남양주시,202401,4957,18927,18978
동두천시,202604,870,1977,2222
동두천시,202603,752,1931,2349
동두천시,202602,554,2747,2118
동두천시,202601,623,1623,2045
동두천시,202512,796,2368,2226
동두천시,202511,709,2109,2139
동두천시,202510,953,2447,1930
동두천시,202509,1334,2446,1720
동두천시,202508,1417,1374,1364
동두천시,202507,2222,1625,1508
동두천시,202506,711,1449,1518
동두천시,202505,597,1563,1664
동두천시,202504,764,1485,1640
동두천시,202503,812,1508,1814
동두천시,202502,699,1141,1691
동두천시,202501,649,2261,1989
